block,timestamp,pool,eth_amount,usdc_amount,price,direction,tx_hash,block_price_min,block_price_max,block_price_mean,block_price_std,block_price_range,block_relative_range,block_slippage,prev_price,local_slippage
19000001,1705173455,v2,0.008501798786715935,21.870973,2572.5112471696466,sell,cc4161d15e823d287bbcf80ebcb38ca9ebedbb0c3c64f187c8a93d5f0f356533,2562.704735467521,2572.5112471696466,2567.607991318584,6.934250924358398,9.80651170212559,0.0038193181105849023,0.0019096590552923625,,
19000001,1705173455,v3_0.05%,39.16705040726769,100373.585553,2562.704735467521,buy,da9c61259d360f1158ca3fc80f670a15da8e1c39debff3c0c7dbc6e55591be82,2562.704735467521,2572.5112471696466,2567.607991318584,6.934250924358398,9.80651170212559,0.0038193181105849023,-0.0019096590552925396,2572.5112471696466,-0.0038120384169029412
19000002,1705173467,v3_0.05%,55.14935715730337,141270.240784,2561.5936080823694,buy,6d4edd0bd990868e10092452ea825575dca2d66fcc393c428ef7b937e7dbcade,2561.5936080823694,2561.5936080823694,2561.5936080823694,,0.0,0.0,0.0,,
19000004,1705173491,v2,0.9281386084903955,2373.229701,2556.977674767808,buy,db324b8fdb58607aa1d0c32439bbc9ffd8abc7fa8ecb18a803ee0cda82c2853e,2556.977674767808,2556.977674767808,2556.977674767808,,0.0,0.0,0.0,,
19000005,1705173503,v2,0.2318545371203796,592.81121,2556.8238489644505,buy,83e456bb28df3911af1f59c8d7dad01e370277efef8571d18402c47ff5af5847,2556.8238489644505,2556.8238489644505,2556.8238489644505,,0.0,0.0,0.0,,
19000006,1705173515,v3_0.05%,1.2516906090367284,3205.492822,2560.930631625392,buy,338d4629c8cacd29b5fbbdd68f78bcb8c3a28fee14408f8327f4d78865f0f4e7,2560.930631625392,2560.930631625392,2560.930631625392,,0.0,0.0,0.0,,
19000008,1705173539,v3_0.05%,3.5364922335404723,9056.512335,2560.8743740780947,buy,a6f34d6563c05cf4e875c78c2292304bccdfa17bf3112e01a9d1b933c5febb4e,2560.8743740780947,2560.8743740780947,2560.8743740780947,,0.0,0.0,0.0,,
19000009,1705173551,v3_0.05%,18.370766535961582,47040.497215,2560.6170065313368,buy,9157a9dc9e23a4f8c964c956517317b8c615596939da2a27a67c2ab1e2a49b8f,2560.397940006026,2560.6170065313368,2560.5074732686817,0.15490342557826683,0.219066525310609,8.555590155374708e-05,4.2777950776784737e-05,,
19000009,1705173551,v3_0.05%,0.2781794145633173,712.25,2560.397940006026,buy,159942f3b4af00e6ece249397d0b58a32d5eb323a7f3a3cacf462bafcfd19626,2560.397940006026,2560.6170065313368,2560.5074732686817,0.15490342557826683,0.219066525310609,8.555590155374708e-05,-4.2777950776962336e-05,2560.6170065313368,-8.555224180415833e-05
19000010,1705173563,v2,0.30131382493380565,770.385096,2556.7532328436723,buy,5ae6d61e577a022da5bfe745e814533905e5c9d12fa51d505089c125e8b22a19,2556.7532328436723,2556.7532328436723,2556.7532328436723,,0.0,0.0,0.0,,
19000011,1705173575,v2,0.19293025522019172,493.262417,2556.687733798095,buy,11a8b7994119d32d1c4f17d1629b5fabbd2e0eab833b631c0a08bd20900f7978,2556.687733798095,2563.284694101728,2560.100886404702,3.3044546641751835,6.596960303632841,0.0025768360687134224,-0.001333210196806117,,
