bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1705173000,19000001,19000013,18,189.53613854697704,485646.88593399996,2562.291759540258
1705173600,19000014,19000062,70,650.8478151814529,1672295.8721989999,2569.411517088327
1705174200,19000067,19000113,49,506.0743092703894,1303014.4405709999,2574.7492348496494
1705174800,19000115,19000162,42,204.68664569506296,527335.638024,2576.306999576374
1705175400,19000164,19000212,55,346.01588594821084,890561.621794,2573.7593502492914
1705176000,19000214,19000262,61,964.0251043937348,2479410.3392169997,2571.9354484821997
1705176600,19000263,19000311,46,129.97486829673534,334079.564624,2570.3397049134865
1705177200,19000313,19000360,51,107.90265458663629,277166.25807,2568.669502449173
1705177800,19000370,19000412,43,233.53715257610042,600411.66979,2570.9471198350325
1705178400,19000414,19000461,82,454.2444467324249,1169946.1761,2575.5871855251607
1705179000,19000462,19000511,82,720.2547515835925,1853105.90156,2572.8478673492364
1705179600,19000512,19000561,60,227.35827073008326,583326.010027,2565.668748947853
1705180200,19000562,19000611,65,409.1225473281392,1051529.958274,2570.2077901627213
1705180800,19000612,19000661,55,211.9423220904616,544339.57012,2568.338238210224
1705181400,19000662,19000711,54,161.22916829165553,414053.498131,2568.105402503831
1705182000,19000712,19000761,68,229.70706788689373,589315.4736830001,2565.508667644372
1705182600,19000763,19000811,64,689.0261070291548,1770792.7641499997,2569.9937144400133
1705183200,19000812,19000859,63,222.47266161125393,572444.5180220001,2573.100505365836
1705183800,19000863,19000911,53,251.2887502710487,646157.341243,2571.3739295771593
1705184400,19000913,19000961,45,186.98346087603028,480471.496924,2569.5935601627984
1705185000,19000962,19001009,65,438.2784387270435,1124983.9302470002,2566.824718812215
1705185600,19001010,19001056,34,157.38787639910655,404327.025487,2568.984566903371
1705186200,19001060,19001108,68,632.6877675972113,1626604.695319,2570.943802970041
1705186800,19001111,19001159,56,460.3927644134901,1186244.857651,2576.5931816113516
1705187400,19001161,19001208,74,816.8208356240472,2110300.0581549997,2583.553168722417
1705188000,19001211,19001259,56,519.2499603148215,1341637.905724,2583.7997270342867
1705188600,19001262,19001309,43,180.4843580570508,466042.857008,2582.1786553972984
1705189200,19001311,19001358,62,311.8725863236795,804252.280343,2578.7847845924493
1705189800,19001359,19001406,64,252.86699131690636,651431.750636,2576.1834205540536
1705190400,19001408,19001456,50,408.63402541166766,1052124.933848,2574.736484041103
1705191000,19001457,19001504,67,688.8750209909163,1771803.84897,2572.025106123515
1705191600,19001507,19001555,59,441.1770226781891,1133350.032689,2568.9235260008263
1705192200,19001556,19001605,58,419.9245326311183,1077897.6710720002,2566.884254935581
1705192800,19001609,19001655,46,362.14487264841273,929709.177056,2567.2299879794386
1705193400,19001657,19001704,62,621.6585950544536,1594392.4644280002,2564.7396772312636
1705194000,19001706,19001753,48,368.8837805038421,946438.102082,2565.6809870829834
1705194600,19001754,19001802,41,435.92317997185506,1120244.4108850001,2569.8206985857637
1705195200,19001804,19001851,42,274.70674953045415,705916.2180939999,2569.7083136857605
1705195800,19001854,19001900,49,110.8789083835746,285174.423456,2571.9447243245518
1705196400,19001903,19001952,35,284.20154901113705,729905.7276139999,2568.2679427809767
1705197000,19001953,19002001,30,252.08458971901814,647368.505271,2568.060610101468
