start_block,end_block,uni_lp_return,uni_log_cum_return,uni_cum_simple_return
19000001.0,19000013.0,-0.00029309959868733143,-0.0002931425607696451,-0.0002930995986872853
19000014.0,19000062.0,0.005652889259717407,0.005343829079310392,0.005358132801456694
19000067.0,19000113.0,0.0010878303779331318,0.006431068198531899,0.006451791919020344
19000115.0,19000162.0,3.8839492820328246e-05,0.00646990693711868,0.006490881996166653
19000164.0,19000212.0,-0.002770598968637293,0.0036954627551539147,0.0037022993965651896
19000214.0,19000262.0,-0.002658672491312453,0.001033249717305298,0.001033783703692448
19000263.0,19000311.0,0.0007976917908139342,0.001830623521115148,0.0018323001352802404
19000313.0,19000360.0,-0.0005585591426397148,0.0012719083262052225,0.0012727175446478611
19000370.0,19000412.0,0.0012319131454749351,0.0025030632892939038,0.002506198567596485
19000414.0,19000461.0,0.004274990079696413,0.006768941558269527,0.006791902621307022
19000462.0,19000511.0,-0.005836988653825182,0.000914851105027638,0.0009152697089434003
19000512.0,19000561.0,-0.0008859873206858533,2.8471065595843284e-05,2.847147090045965e-05
19000562.0,19000611.0,0.002398437844744925,0.002424037249044175,0.002426977602698832
19000612.0,19000661.0,-0.0014569800435281655,0.0009659947780099247,0.00096646150123747
19000662.0,19000711.0,-0.00030136245973784616,0.0006645868994807273,0.0006648077862843049
19000712.0,19000761.0,-0.001603838020755747,-0.000940538646311939,-0.0009400964784754828
19000763.0,19000811.0,0.004948934015055725,0.0039961896484398095,0.0040041850611405305
19000812.0,19000859.0,-0.00017938770097973572,0.0038167858555619963,0.003824079058608376
19000863.0,19000911.0,-0.0004619545957543197,0.0033547245259113864,0.0033603579119585447
19000913.0,19000961.0,-0.0018767714702202344,0.0014761897135098208,0.0014772798178794844
19000962.0,19001009.0,0.0007427350030762756,0.0022186490254454848,0.0022211120483857094
19001010.0,19001056.0,-0.00044267859665694597,0.0017758724176925853,0.00177745021296416
19001060.0,19001108.0,0.004069595548359735,0.005837209560088218,0.005854279264798201
19001111.0,19001159.0,0.0022196640942635623,0.008054413839309011,0.008086937892543666
19001161.0,19001208.0,0.005319963591928051,0.013360276414083817,0.013449923699630384
19001211.0,19001259.0,-0.0016155147151509512,0.011743455347892942,0.011812680434825085
19001262.0,19001309.0,-0.0010590116221855831,0.010683882576688862,0.010741159046769866
19001311.0,19001358.0,-0.0027750490945251363,0.00790497589511013,0.00793630270855794
19001359.0,19001406.0,0.00033278364412888615,0.008237704179043789,0.008271727424423059
19001408.0,19001456.0,-0.0014452961507408367,0.006791362580378609,0.006814476177875672
19001457.0,19001504.0,-0.0021030491484173445,0.004686098918736133,0.004697095851135646
19001507.0,19001555.0,-0.0027245692548025103,0.0019578112695705385,0.001959729033390367
