block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19231304,1707975611,54608640.686465,19576.73568911893,2789.466106794167,109949040.075901,7090.853383409728,2784.4615393849185,34681836.033669,7810.507870040198,2787.9681604325133
19231353,1707976199,54558109.507859,19594.92873464119,2784.297419332157,109292876.506431,7329.037374705559,2776.260277184525,34522089.061228,7868.0347154238425,2782.5695455378445
19231354,1707976211,54557690.29486,19595.080774042242,2784.25442201458,109292876.506431,7329.037374705559,2776.260277184525,34522089.061228,7868.0347154238425,2782.5695455378445
19231401,1707976787,54405570.815737,19650.037775417703,2768.726016588052,109015670.719528,7422.463288001884,2772.3773579630847,34061317.199705,7982.923028912824,2771.813364025127
19231403,1707976811,54405570.815737,19650.037775417703,2768.726016588052,109016035.719528,7422.331698006391,2772.383072064078,34061317.199705,7982.923028912824,2771.813364025127
19231452,1707977399,54432471.685348,19640.363257344623,2771.4595179390417,109288150.613835,7330.8816239652815,2776.636584383001,34061317.199705,7982.923028912824,2771.813364025127
19231454,1707977423,54432659.526941,19640.295683770964,2771.478617397773,109288150.613835,7330.8816239652815,2776.636584383001,34061317.199705,7982.923028912824,2771.813364025127
19231502,1707977999,54435477.380661,19639.28291776407,2771.7650185396114,109234764.005319,7350.5499254571605,2775.7908110286894,34067505.853809,7980.697101238745,2772.0218793323656
19231503,1707978011,54435376.229161,19639.319521175777,2771.7547021151595,109234764.005319,7350.5499254571605,2775.7908110286894,34067505.853809,7980.697101238745,2772.0218793323656
19231551,1707978599,54421337.54595,19644.409470933257,2770.321888600125,108904232.6782,7470.202220964005,2770.649368274803,34077406.853809,7977.136269658412,2772.355491611104
19231552,1707978611,54421337.54595,19644.409470933257,2770.321888600125,109051302.256029,7417.168754813998,2772.906304142363,34077406.853809,7977.136269658412,2772.355491611104
19231600,1707979199,54448527.005525,19634.629400617356,2773.0865653014575,109532400.438265,7243.998882785843,2780.074484714996,34094379.163976,7971.0332831725555,2772.927417016051
19231608,1707979307,54448633.047351,19634.5912769708,2773.0973504507433,109482876.050919,7261.823603088619,2779.5260395392197,34094379.163976,7971.0332831725555,2772.927417016051
19231648,1707979787,54476662.609406,19624.519100021796,2775.9489204168826,109517793.634516,7183.113981253863,2781.289232366385,34183266.550089,7939.0912511476945,2775.9188042355477
19231650,1707979811,54476662.609406,19624.519100021796,2775.9489204168826,109516541.759516,7183.564313567845,2781.2751750353527,34183266.550089,7939.0912511476945,2775.9188042355477
19231698,1707980387,54479039.839302,19623.67351998952,2776.189676403213,109352530.138656,7243.16610496485,2779.417585393267,34192961.408351,7935.609446868334,2776.2449178715606
19231702,1707980435,54478960.136991,19623.702315664414,2776.1815411103003,109352530.138656,7243.16610496485,2779.417585393267,34192961.408351,7935.609446868334,2776.2449178715606
19231747,1707980975,54490034.081724,19619.727659193017,2777.3083820657503,109746880.232269,7101.476546095857,2783.870269977102,34192961.408351,7935.609446868334,2776.2449178715606
19231750,1707981011,54490034.081724,19619.727659193017,2777.3083820657503,109747191.912845,7101.364642699999,2783.8738116071954,34192961.408351,7935.609446868334,2776.2449178715606
19231799,1707981599,54514204.726154,19611.065864195603,2779.767561011658,109892522.335963,7046.342249934289,2785.6836067648464,34250040.066632,7915.1187309681545,2778.1652978274187
19231801,1707981623,54514204.726154,19611.065864195603,2779.767561011658,109892522.335963,7046.342249934289,2785.6836067648464,34251146.63268,7914.721620344094,2778.202534356918
19231849,1707982199,54528017.018669,19606.11876191658,2781.173453084738,109145334.662143,7167.283252069569,2786.4434174504204,34301146.63268,7896.783795832596,2779.885321036718
19231851,1707982223,54528917.018669,19605.796133626896,2781.2651242019033,109146334.662143,7166.924551903289,2786.456145812807,34301146.63268,7896.783795832596,2779.885321036718
19231897,1707982775,54527860.268716,19606.190148567523,2781.155331837886,108546973.144017,7527.5537125191295,2779.500316821785,34301146.63268,7896.783795832596,2779.885321036718
19231899,1707982811,54527860.268716,19606.190148567523,2781.155331837886,108551150.772518,7526.051462519129,2779.5473592759417,34301146.63268,7896.783795832596,2779.885321036718
