bin,liquidity_usd,opt_capital_kept,uni_volume_ether,opt_user_kept_ether,uni_volume_usd,opt_user_kept,opt_price,uni_price,opt_fee,opt_lp_return_bin,uni_lp_return_bin,opt_log_cum_return,uni_log_cum_return,opt_total_income,opt_il_usd,opt_net_income,opt_lp_surplus_volume,opt_protocol_objective,opt_lp_return_year,check_opt_return,opt_solve_time_ms,opt_total_sweep_time_ms
19230463,298435978.78244406,61517846.85461516,334.1694102601534,334.1694102601534,932650.4375949999,930785.13671981,2785.3690617438224,2790.9509636711646,0.0001,1.5130326958931612e-06,-8.577820677513638e-05,1.9987776658956894e-05,-0.0017924909663543493,93.078513671981,0.0,93.078513671981,930785.13671981,1861570.27343962,0.07952499849614454,0.07952499849824379,452.6223500142805,20380.060202005552
19230514,298477896.83851993,91558442.39829749,214.62775533430076,214.6277553343008,599374.939531,599374.9395310001,2792.6254859136143,2792.6254859136143,0.00025,1.6365911319340699e-06,0.00016332284543143559,2.162436645169134e-05,-0.0016291814566468572,149.84373488275003,0.0,149.84373488275003,599374.9395310001,1198749.8790620002,0.08601922989445471,0.08601922989874439,414.2018140119035,19885.020389017882
19230562,298501008.43910474,29318712.509655714,166.64097954306567,165.98921251486627,465784.786743,463499.04396092275,2792.3443755082035,2795.1395150232265,0.0001,1.5808983557703246e-06,0.0003313112090008769,2.3205263557852533e-05,-0.0012979251190852418,46.34990439609228,3.725290298461914e-09,46.34990439981757,463499.04399817565,926998.0879590984,0.08309201757928826,0.08309201757847727,421.16518001421355,20398.73676499701
19230613,298658703.7799901,298658703.7799901,472.6936139388806,471.69361393888056,1322551.596976,1317114.1850753922,2792.3087066556227,2797.9045156869965,0.0005,2.2050490550003484e-06,0.00015719968397394203,2.5410310181639592e-05,-0.0011407377896868374,658.5570925376961,0.0,658.5570925376961,1317114.1850753922,2634228.3701507845,0.11589737833081831,0.11589737833252901,8.676858997205272,23939.78476600023
19230660,298636751.2277918,79046301.11740378,467.41783675512266,467.41783675512266,1307167.72179,1304553.3863464203,2790.9790422265546,2796.572186599754,0.0001,1.6503661371944883e-06,-2.7036086978110498e-05,2.70606749568717e-05,-0.0011677742421464961,130.45533863464203,0.0,130.45533863464203,1304553.3863464203,2609106.7726928405,0.08674324417094231,0.08674324417583558,486.39645500225015,24022.344208991854
19230709,298549353.54213333,298549353.54213333,4096.682723431517,4095.6323064667467,11508655.019404,11471187.010592751,2800.834194143958,2809.261980084211,0.00025,9.605771101372892e-06,0.0003923152990012717,3.666639992317649e-05,-0.0007755358786707797,2867.796752648188,-5.960464477539063e-08,2867.7967525885833,11471187.010354333,22942374.020947084,0.5048793290881592,0.5048793290852504,7.007606996921822,997.7057579963002
19230757,298646497.14707315,115080208.77260923,719.9852634631827,719.9852634631827,2019149.093429,2019149.093429,2804.4311403218762,2804.4311403218762,0.0001,1.7545580729860362e-06,0.00017410385695556814,3.842095645699396e-05,-0.00060144717603276,201.9149093429,0.0,201.9149093429,2019149.093429,4038298.186858,0.09221957231614607,0.09221957231842595,369.0904669929296,10260.86739602033
19230808,298690811.80421185,298690811.80421185,902.9704388451424,902.9704388451423,2528341.455596,2523284.772684808,2794.4267764866954,2800.026830146989,0.0005,4.223907587853756e-06,-6.641378296709367e-05,4.2644855124240556e-05,-0.0006678631644928176,1261.642386342404,5.960464477539063e-08,1261.6423864020087,2523284.772804017,5046569.545488825,0.22200858281759342,0.22200858281316768,8.137201017234474,20448.465783003485
19230857,298749786.7898532,36799711.00455216,208.60506025633254,208.60506025633256,583434.6441259999,582851.209481874,2794.0415671876326,2796.8384055932256,0.0001,1.5838472465443403e-06,-4.234794157419305e-05,4.42287011164227e-05,-0.0007102120027664166,58.285120948187405,0.0,58.285120948187405,582851.209481874,1165702.418963748,0.08324701127837052,0.08324701127974413,565.0350039941259,27762.21407399862
19230907,298736445.3163613,92674251.91146338,223.02534544142964,223.02534544142964,623828.2934099999,621956.8085297699,2788.7270269607393,2797.1183821070604,0.00025,1.677803693316991e-06,8.179719274025802e-06,4.590650340222349e-05,-0.0007020323169462226,155.48920213244247,0.0,155.48920213244247,621956.8085297699,1243913.6170595398,0.08818536212074105,0.08818536211757531,334.73297199816443,20314.892285998212
