bin,liquidity_usd,opt_capital_kept,user_demand_usd,OK_user_demand_usd_inflation,opt_user_kept,uni_user_kept,opt_price,uni_price,check_price,opt_fee,uni_fee,opt_lp_surplus,opt_protocol_objective,opt_total_income,uni_total_income,opt_il_usd,uni_il_usd,opt_net_income,uni_net_income,opt_lp_return_bin,uni_lp_return_bin,uni_lp_return_bin_check,opt_log_cum_return_bin,uni_log_cum_return_bin,opt_lp_return_year,uni_lp_return_year,opt_solve_time_ms,opt_total_sweep_time_ms,check_opt_return
16,100000000,100000000.0,190258,190465.5020486293,190050.694488569,154780.35535583892,1962.2212929870395,1969.5201837474156,1962.2212929870395,0.003,0.003,189843.64435074542,379687.28870149085,569.5309330522363,466.9151208266243,0.0,-144.8434839695692,569.5309330522363,322.07163685705507,5.695309330522363e-06,3.251314389118413e-06,3.2513143891037472e-06,9.683416941604425e-05,4.763783667428235e-05,0.2993454584122554,0.1708890842920638,952.9149559966754,976.9423170073424,0.2993454584122896
17,100000000,100000000.0,190258,191183.5670355877,190499.50090565963,125878.37953242587,1952.7216933432112,1964.2575687547132,1952.7216933432112,0.003,0.003,189577.24560376242,379154.49120752484,568.7317368112873,380.6150320699851,0.0,-479.12916292250156,568.7317368112873,-98.51413085251647,5.687317368112873e-06,-9.969059438263188e-07,-9.969059437569952e-07,0.0001025214706114799,4.664093023357598e-05,0.2989254008680126,-0.05239737640751131,944.022986019263,968.4365360008087,0.2989254008668184
18,100000000,100000000.0,190258,190253.94293153728,189806.41112114777,148863.025160013,1952.7633341390679,1961.196880022363,1952.7633341390679,0.003,0.003,189810.45864622248,379620.91729244497,569.4313759386674,449.3083158369275,0.0,-197.17353369295597,569.4313759386674,252.1347821439715,5.694313759386674e-06,2.5514333759051194e-06,2.5514333759700474e-06,0.00010821576815834472,4.91923603545834e-05,0.2992931311933636,0.1341033382375731,948.6615589994472,973.7764549790882,0.29929313119962214
19,100000000,100000000.0,190258,189993.28380587714,189591.19212528723,175910.53591047614,1955.4841044077903,1960.049901727185,1955.4841044077903,0.003,0.003,189855.34808813644,379710.6961762729,569.5660442644094,529.8371389580941,0.0,-38.64880535006523,569.5660442644094,491.18833360802887,5.695660442644094e-06,4.967028062311888e-06,4.967028062238378e-06,0.00011391141238074964,5.415937608134848e-05,0.29936391286537356,0.2610669949551128,931.6294099844526,956.2617510091513,0.2993639128688335
20,100000000,100000000.0,190258,190120.82999297124,189798.56520303586,185358.24014015513,1956.894963850999,1959.8289166644452,1956.894963850999,0.003,0.003,189935.50269473295,379871.0053944329,569.8065080991,557.749374830837,-1.4901161193847656e-08,-4.760773584246635,569.8065080841989,552.9886012465904,5.698065080841989e-06,5.589926972308806e-06,5.5899269723679025e-06,0.00011960946122772203,5.9749287430180704e-05,0.29949030064905496,0.2938065616645508,931.082683004206,955.5055880045984,0.2994903006542444
21,100000000,100000000.0,190258,190592.86561869827,190366.62996082538,171530.6313960581,1953.4567614782593,1958.8831150654457,1953.4567614782593,0.003,0.003,190032.1618310011,380064.3236620022,570.0964854930033,516.8623908734335,0.0,-36.741624385118484,570.0964854930033,480.120766488315,5.700964854930034e-06,4.8575739457033615e-06,4.85757394572747e-06,0.0001253104098321437,6.460684957795563e-05,0.29964271277512255,0.25531408658616866,940.1525330031291,964.7387510049157,0.2996427127764702
22,100000000,100000000.0,190258,190221.39115236935,189586.73764234668,178293.39685830704,1953.832711840628,1958.301347991473,1953.832711840628,0.003,0.003,189623.22434843736,379246.4486968747,568.8696730453121,536.9364842233153,0.0,-18.502286225557327,568.8696730453121,518.434197997758,5.688696730453121e-06,5.244676807752036e-06,5.2446768076946595e-06,0.0001309990903819136,6.985151263242264e-05,0.29899790015261607,0.27566021301544696,960.0060819939245,984.3468389881309,0.29899790015165806
23,100000000,100000000.0,190258,189845.37253732738,189563.47882819411,189250.75382342955,1958.0793522701442,1958.3718693979597,1958.0793522701442,0.003,0.003,189975.49359208267,379950.9871891324,569.9264807911492,568.6713659888997,-1.4901161193847656e-08,0.08594988286495209,569.926480776248,568.7573158717646,5.69926480776248e-06,5.747495427585468e-06,5.747495427609066e-06,0.0001366983389490336,7.559899154322232e-05,0.29955335829599594,0.3020883596738922,934.3127199972514,958.5387849947438,0.2995533583006024
24,100000000,100000000.0,190258,190469.82663225572,190040.61572366155,186573.26066517452,1955.901719401912,1958.3771999310209,1955.901719401912,0.003,0.003,189829.2664234685,379658.53285190405,569.4877992853067,561.2574636897849,-1.4901161193847656e-08,-0.2632313668727875,569.4877992704055,560.9942323229121,5.694877992704055e-06,5.672167968233856e-06,5.67216796827262e-06,0.00014239320072601208,8.127114342474544e-05,0.2993227872965251,0.29812914841037147,942.257585003972,966.6624970268458,0.29932278729733225
25,100000000,100000000.0,190258,190282.0821894254,190081.70467580273,186001.06823362247,1955.6541795644134,1958.2208727400389,1955.6541795644134,0.003,0.003,190057.64784128222,380115.29568753147,570.1729435387479,559.6070864588341,-1.4901161193847656e-08,-3.0547235161066055,570.1729435238467,556.5523629427275,5.701729435238467e-06,5.627580551812184e-06,5.62758055187213e-06,0.00014809491390647362,8.689870814175478e-05,0.2996828991161338,0.29578563380324835,940.2522619930096,964.7947359771933,0.2996828991206646
26,100000000,100000000.0,190258,190549.12342705182,189916.45940195737,176095.71557350043,1952.6663056941832,1957.1615901380044,1952.6663056941832,0.003,0.003,189626.30256722492,379252.6051344498,568.8789077016747,530.3861036554398,0.0,-35.038637548685074,568.8789077016747,495.3474661067547,5.688789077016747e-06,5.0125054784346385e-06,5.012505478479451e-06,0.00015378368680229302,9.19112010576545e-05,0.29900275388800024,0.26345728794652457,953.9760289771948,978.5318349895533,0.29900275388470887
