bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1707959400,19230000,19230017,33,741.5474167174024,2078031.9259619997,2802.291369526705
1707960000,19230018,19230065,86,1037.0408874971345,2901004.1246370003,2797.386447933102
1707960600,19230068,19230117,98,1277.5420085973276,3555144.7318680002,2782.800649953858
1707961200,19230118,19230166,64,631.7323520549055,1756192.0964330002,2779.962258890874
1707961800,19230167,19230216,76,1371.3648567954276,3803815.5448339996,2773.7443656844644
1707962400,19230217,19230264,72,506.4700804273676,1412364.3778610001,2788.6432633280615
1707963000,19230268,19230315,81,893.03083020767,2490550.094856,2788.8735871267004
1707963600,19230316,19230363,54,312.7455677642971,873714.2835220001,2793.690378309313
1707964200,19230367,19230412,69,370.65032328708,1035832.897608,2794.636433665581
1707964800,19230413,19230462,84,301.5275185576531,842920.9499690002,2795.5025597699496
1707965400,19230463,19230510,71,334.1694102601534,932650.437595,2790.9509636711646
1707966000,19230514,19230560,73,214.62775533430076,599374.939531,2792.6254859136143
1707966600,19230562,19230609,64,166.64097954306567,465784.786743,2795.1395150232265
1707967200,19230613,19230659,79,472.6936139388806,1322551.5969760001,2797.9045156869965
1707967800,19230660,19230708,79,467.41783675512266,1307167.72179,2796.572186599754
1707968400,19230709,19230755,64,4096.682723431517,11508655.019404,2809.261980084211
1707969000,19230757,19230806,74,719.9852634631827,2019149.093429,2804.4311403218762
1707969600,19230808,19230856,79,902.9704388451424,2528341.455596,2800.026830146989
1707970200,19230857,19230904,79,208.60506025633254,583434.6441259999,2796.8384055932256
1707970800,19230907,19230956,64,223.02534544142964,623828.2934099999,2797.1183821070604
1707971400,19230957,19231003,51,504.2458382175498,1408177.7271099999,2792.6412483397858
1707972000,19231008,19231056,58,225.9659309098969,631509.004328,2794.7089270718952
1707972600,19231058,19231106,71,560.7281581930067,1565832.701002,2792.4987859500875
1707973200,19231108,19231156,40,271.0816870166855,757605.984226,2794.7516210468625
1707973800,19231157,19231204,60,107.41375792739147,299765.1674239999,2790.7520713187632
1707974400,19231209,19231251,51,395.6455242249694,1102266.050197,2785.9939837717875
1707975000,19231255,19231303,48,343.24555447568616,955290.154687,2783.110057015081
1707975600,19231304,19231353,53,399.11845210880574,1109166.634754,2779.0412317284304
1707976200,19231354,19231401,65,1623.1294496042742,4489983.572744,2766.251067552669
1707976800,19231403,19231452,79,1137.969249677028,3153485.338881,2771.151628021587
1707977400,19231454,19231502,53,1063.8664925022347,2953647.935166,2776.333267362301
1707978000,19231503,19231551,70,1087.8681622030456,3014733.439575,2771.2305078125028
1707978600,19231552,19231600,33,283.0556940399543,785976.4345099999,2776.7554267926394
1707979200,19231608,19231648,30,729.5318702878412,2031814.9753260002,2785.094192696935
1707979800,19231650,19231698,61,1517.007372703852,4215943.954771,2779.1189618654744
1707980400,19231702,19231747,39,163.09558401142928,453896.7727930001,2783.010806480157
1707981000,19231750,19231799,48,847.8892395897792,2356458.538346,2779.2056182787364
1707981600,19231801,19231849,33,191.15602396841004,532769.0668500001,2787.090125593134
1707982200,19231851,19231897,48,318.54256714119754,886056.195331,2781.59431966355
