start_block,end_block,uni_lp_return,uni_lp_return_raw,uni_log_cum_return,uni_log_cum_return_raw,uni_cum_simple_return,uni_cum_simple_return_raw
19230000.0,19230017.0,-0.0028294919845056788,-9.271095909030197e-06,0.0,0.0,0.0,0.0
19230018.0,19230065.0,-0.013619278456913868,-0.0011176126113743856,-0.013712871581828077,-0.0011182376060602391,-0.013619278456913908,-0.00111761261137433
19230068.0,19230117.0,-0.00641465111489817,-0.0016469132172880518,-0.020148184979475153,-0.0027665084757494732,-0.019946566652074282,-0.0027626852176808603
19230118.0,19230166.0,-0.001248253395894848,-0.00022323242715257925,-0.021397218092564146,-0.002989765822969062,-0.021169921678409254,-0.0029853009239069195
19230167.0,19230216.0,0.0009788900652993834,-7.905760353531714e-05,-0.02041880682770821,-0.0030688265517214426,-0.020211754639124058,-0.003064122516705403
19230217.0,19230264.0,0.0053270671744596225,0.0006752469511046267,-0.015105878286184527,-0.002393807477263036,-0.014992356839340748,-0.00239094460498801
19230268.0,19230315.0,0.0051827964877914625,0.0004898110295293593,-0.009936466262061008,-0.0019041163659994907,-0.009887262685919884,-0.0019023046864972137
19230316.0,19230363.0,-0.0028066241612049836,-0.00010228611285260133,-0.012747036377794126,-0.002006407710433248,-0.01266613701678243,-0.002004396219997928
19230367.0,19230412.0,0.0028783979284425372,0.00018701469743080104,-0.009872773104447218,-0.0018194104980710677,-0.009824197270890345,-0.001817756374119739
19230413.0,19230462.0,-0.0007552129083569643,0.0001127077686959396,-0.010628271329731761,-0.001706709080418441,-0.01057199081865412,-0.0017052534806887287
19230463.0,19230510.0,-0.0029931593727792424,-8.577820677513638e-05,-0.013625919162715142,-0.0017924909663543493,-0.013533506538025541,-0.0017908854138781738
19230514.0,19230560.0,0.0025689719149920498,0.00016332284543143559,-0.011060241415529625,-0.0016291814566468572,-0.010999301821241092,-0.0016278550609484244
19230562.0,19230609.0,0.00019822848831220418,0.0003313112090008769,-0.010862032571888176,-0.0012979251190852418,-0.010803253707901361,-0.0012970831785759085
19230613.0,19230659.0,0.003543753974086133,0.00015719968397394203,-0.007324542898850869,-0.0011407377896868374,-0.007297783807075686,-0.0011400873956677327
19230660.0,19230708.0,-0.000995800809593113,-2.7036086978110498e-05,-0.008320839847467999,-0.0011677742421464961,-0.008286317477645522,-0.0011670926591438313
19230709.0,19230755.0,0.005631931709489618,0.0003923152990012717,-0.0027047081699929044,-0.0007755358786707797,-0.0027010537423129977,-0.0007752352284480235
19230757.0,19230806.0,0.00675348022318459,0.00017410385695556814,0.004026069462641142,-0.00060144717603276,0.004034184967841137,-0.0006012663429357801
19230808.0,19230856.0,-0.013123127856556123,-6.641378296709367e-05,-0.009183927469267023,-0.0006678631644928176,-0.00914188401384497,-0.0006676401935304943
19230857.0,19230904.0,-0.0003271661441828319,-4.234794157419305e-05,-0.009511147143968696,-0.0007102120027664166,-0.009466059243084413,-0.0007099598619167979
19230907.0,19230956.0,0.0013234410990252794,8.179719274025802e-06,-0.00818858102121343,-0.0007020323169462226,-0.00815514591590727,-0.0007017859499152124
19230957.0,19231003.0,-0.0020648741752599233,-0.00043973818697353107,-0.010255589988377183,-0.0011418672171096401,-0.01020318074096993,-0.0011412155348075048
19231008.0,19231056.0,-0.0019075486591451558,-4.882361053371998e-05,-0.012164960335473367,-0.001190692019554619,-0.012091266336373585,-0.0011899834270784337
19231058.0,19231106.0,0.0031669866227168465,-1.3434532341183967e-06,-0.009002978051891118,-0.001192035473691157,-0.008962572592395746,-0.001191325281625466
19231108.0,19231156.0,-0.00036373747233222595,-0.0015594685747200455,-0.009366781692743511,-0.002752721285188525,-0.009323050041227576,-0.002748936022006543
19231157.0,19231204.0,0.014514204624922556,-0.006844203019192499,0.005043100094665218,-0.00962045328138485,0.005055837927668172,-0.00957432476497766
19231209.0,19231251.0,-0.003424303203836595,-0.00045765471369894797,0.001612920545853051,-0.010078212750964866,0.0016142220018178222,-0.010027597743817451
19231255.0,19231303.0,-0.000964885725688821,-0.0002263085429475087,0.0006475690182778643,-0.010304546905554806,0.0006477787363612375,-0.010251636955730281
19231304.0,19231353.0,-0.005854889057881463,-0.0006989800409234382,-0.005224527099031956,-0.011003771346920993,-0.005210902994155608,-0.01094345130703478
